Bên liên quan,Nội dung nghiệp vụ,Nam 2022 VND,Nam 2021 VND
Công ty Đại Đông Á,Phải thu phí dịch vụ,175.354.546,8.680.484.421
Công ty Hải Phát Kinh Bắc,Chuyển tiền hợp tác đầu tư,-,300.000.000.000
Công ty Hải Phát Kinh Bắc,Chuyển tiền Hợp tác đầu tư,201.000.000.000,-
Công ty Hải Phát Kinh Bắc,"Cổ tức, lợi nhuận được chia",79.301.007.285,-
Công ty Hải Phát Kinh Bắc,Nhận tiền theo thỏa thuận quản lý vốn tập trung,-,-
Công ty Hải Phát Kinh Bắc,Nhận tiền hợp tác đầu tư,144.091.689.634,-
Công ty Hải Phát Kinh Bắc,Phải trả phí dịch vụ môi giới,,
Công ty Hải Phát Land,Phí dịch vụ môi giới,513.982.467,-
Công ty Hải Phát Land,Phải trả lãi từ dòng tiền quản lý vốn tập trung,2.663.595.000,-
Công ty Hải Phát Land,Mua thanh lý tài sản,82.007.842,-
Công ty Hải Phát Land,Doanh thu phí dịch vụ môi giới,10.624.642.794,17.498.265.001
Công ty Hải Phát Land,Phải trả tiền thuê xe,-,324.000.000
Công ty Hải Phát Land,Trà khác,70.000.000.000,14.074.419.229
Công ty ANTV,Phí dịch vụ bảo vệ,10.289.440.000,15.446.646.600
Công ty ANTV,Phí dịch vụ phải thu,-,190.817.385
Công ty An Land,"Chi phí tiền điện, phí dịch vụ phải trả",986.405.769,1.454.256.366
Công ty An Land,Doanh thu quản lý vận hành,1.681.860.321,2.481.293.612
Công ty BT Hà Đông,Chuyển tiền góp vốn,1.383.900.000,2.660.000.000
Công ty Ciencon5,Chi phí xây dựng,15.929.026.740,64.348.110.760
Công ty Ciencon5,Doanh thu cho thuê mặt bằng;phi dịch vụ,434.188.431,405.797.550
