Tên đơn vị,Địa chỉ,Hoạt động chính,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm
Tên đơn vị,Địa chỉ,Hoạt động chính,Tỷ lệ vốn nằm giữ trực tiếp (%),Tỷ lệ biểu quyết (%),Tỷ lệ vốn nằm giữ trực tiếp (%),Tỷ lệ biểu quyết (%)
Công ty TNHH Đầu tư Phát triển Đô thị Cần Thơ,"Số 9C, Đường Trần Phú, Phường Cái Khế, Quận Ninh Kiều, Thành phố Cần Thơ",Kinh doanh bất động sản,"49,00","49,00","49,00","49,00"
Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,"Tầng 1-4, tỏa V1 The Van Phu Victoria, CT9, Khu đó thị Văn Phú, Phường Phúc La, Quận Hà Đông, Thành phố Hà Nội",Kinh doanh bất động sản,"35,00","35,00","35,00","35,00"
Công ty Cổ phần Đầu tư Phong Phú,"Số 36 Đường 31 A, Phường An Phú, Thành phố Thủ Đức, Thành phố Hồ Chí Minh",Kinh doanh bất động sản,"30,00","30,00","30,60","30,60"
Công ty Cổ phần Đầu tư BOT Hà Nội – Bắc Giang,"Số 14, lỗ B1, Khu đỏ thị mới Nam Từ Sơn, Phường Phù Chàn, Thành phố Từ Sơn, Tĩnh Bắc Ninh",Xây dựng và thu phí đường bộ,"33,00","33,00","33,00","33,00"
Công ty Cổ phần Đầu tư Hà Phú Riverland,"Số 90 đường Phan Trung, KP 7, Phường Tân Tiến, Thành phố Biên Hoà, Tĩnh Đông Nai",Kinh doanh bất động sản,"30,00","30,00","30,60","30,60"
Công ty TNHH BT Hà Đông,"Số 12, đường Khuất Duy Tiến, Phường Thanh Xuân Trung, Quận Thanh Xuân, Thành phố Hà Nội",Xây dựng công trình kỹ thuật dân dụng,"50,00","50,00","50,00","50,00"
Công ty Cổ phần In và Văn hóa phẩm,"Số 83, đường Hào Nam, Phường Ô Chợ Dừa, Quận Đông Đa, Thành phố Hà Nội",Xây dựng và in ấn,"46,77","46,77","46,77","46,77"
Công ty Cổ phần Đầu tư - Kinh doanh Bất động sản Trần Việt,"Số 285 Nguyễn Du, Phường Nghĩa Chánh, Thành phố Quảng Ngãi, Tĩnh Quảng Ngãi",Kinh doanh bất động sản,-,-,"49,00","49,00"
Công ty TNHH Công viên Trung Văn,"Nhà 24B/1 Khu nhà ở Phú Mỹ, số 24 Ngô Quyền, Phường Vạn Phúc, Quận Hà Đông, Thành phố Hà Nội",Kinh doanh bất động sản,(*),"40,00",(*),"40,00"
Công ty TNHH An Biên Golf and Resort,"Số 25B, phố Hải Hà, phường Hồng Hải, thành phố Hạ Long, tỉnh Quảng Ninh",Kinh doanh bất động sản,"49,00","49,00","49,00","49,00"
