,Số đầu năm,Số đầu năm,Số đầu năm,Trong năm,Trong năm,Số cuối năm,Số cuối năm
,Giá trị,VND Số có khả năng trả nợ,Tăng,VND Giảm,Giá trị,VND Số có khả năng trả nợ,
Vay dài hạn,2.509.163.256.876,2.509.163.256.876,634.424.469.358,415.461.927.809,2.728.125.798.425,2.728.125.798.425,
Nợ thuê tài chính dài hạn,148.362.522.577,148.362.522.577,45.016.850.761,69.177.146.676,124.202.226.662,124.202.226.662,
,2.657.525.779.453,2.657.525.779.453,679.441.320.119,484.639.074.485,2.852.328.025.087,2.852.328.025.087,
Trong đó:- Số phải trả trong vòng 12 tháng- Số phải trả sau 12 tháng,420.235.798.052,420.235.798.052,,,612.101.822.945,612.101.822.945,
Trong đó:- Số phải trả trong vòng 12 tháng- Số phải trả sau 12 tháng,2.237.289.981.401,2.237.289.981.401,,,2.240.226.202.142,2.240.226.202.142,
Chi tiết các khoản vay dài hạn như sau:,Chi tiết các khoản vay dài hạn như sau:,Chi tiết các khoản vay dài hạn như sau:,Chi tiết các khoản vay dài hạn như sau:,Chi tiết các khoản vay dài hạn như sau:,Chi tiết các khoản vay dài hạn như sau:,Chi tiết các khoản vay dài hạn như sau:,Chi tiết các khoản vay dài hạn như sau:
Ngân hàng/Tổ chức cho vay,Số đầu năm VND,Số cuối năm VND,Thời hạn cho vay/ngày đáo hạn,Mục đích vay,Mục đích vay,Tài sản bảo đảm,Tài sản bảo đảm
Ngân hàng TMCP Công thương Việt Nam,2.369.604.080.002,2.509.247.687.050,Từ 2022 đến 2028,"Đầu tư dự án Khu Công Nghiệp, dự án xây dựng nhà xưởng, nhà kho để cho thuê, đầu tư nhà máy, mua máy móc thiết bị, đầu tư nhà máy, Dự án Khu du lịch sinh thái cao cấp Vân Hải, Dự án Nhà máy Kính nối Siêu trắng Phú Mỹ","Đầu tư dự án Khu Công Nghiệp, dự án xây dựng nhà xưởng, nhà kho để cho thuê, đầu tư nhà máy, mua máy móc thiết bị, đầu tư nhà máy, Dự án Khu du lịch sinh thái cao cấp Vân Hải, Dự án Nhà máy Kính nối Siêu trắng Phú Mỹ","Thế chấp bằng tài sản cố định hữu hình, tài sản cố định vô hình, bất động sản đầu tư, chi phí xây dựng cơ bản dở dang và các tài sản hình thành trong tương lai của dự án","Thế chấp bằng tài sản cố định hữu hình, tài sản cố định vô hình, bất động sản đầu tư, chi phí xây dựng cơ bản dở dang và các tài sản hình thành trong tương lai của dự án"
Ngân hàng TMCP Tiên Phong,58.398.746.183,94.199.373.081,36 tháng,Đầu tư Dư án Nhà máy Viglacera Mỹ Đức,Đầu tư Dư án Nhà máy Viglacera Mỹ Đức,Thế chấp bằng tài sản cố định hữu hình và tài sản cố định vô hình,Thế chấp bằng tài sản cố định hữu hình và tài sản cố định vô hình
Ngân hàng TMCP Ngoại thương Việt Nam,5.425.017.000,64.520.847.500,Từ 2023 đến 2025,Đầu tư nhà máy,Đầu tư nhà máy,Thế chấp bằng tài sản cố định hữu hình và hợp đồng tiền gửi,Thế chấp bằng tài sản cố định hữu hình và hợp đồng tiền gửi
